run,steps,xyz_end_mm,rot_2nd_diff_deg,rot_vel_deg_s,rot_vel_deg_s_lo,rot_vel_deg_s_hi,rot_accel_deg_s2,rot_accel_deg_s2_lo,rot_accel_deg_s2_hi,rot_jerk_deg_s3,rot_jerk_deg_s3_lo,rot_jerk_deg_s3_hi,xyz_vel_mm_s,xyz_vel_mm_s_lo,xyz_vel_mm_s_hi,xyz_accel_mm_s2,xyz_accel_mm_s2_lo,xyz_accel_mm_s2_hi,xyz_jerk_mm_s3,xyz_jerk_mm_s3_lo,xyz_jerk_mm_s3_hi,gt_rot_vel_deg_s,gt_rot_accel_deg_s2,gt_rot_jerk_deg_s3,gt_xyz_vel_mm_s,gt_xyz_accel_mm_s2,gt_xyz_jerk_mm_s3
act_umi_identity_rot6d_1459_3000000steps,3000000,11.989,0.0634,6.256,5.996,6.519,34.04,32.23,35.94,902.7,845.9,962.2,57.40,55.34,59.50,250.68,243.41,257.96,5260.55,5064.55,5458.43,8.252,65.95,2793.0,73.45,627.72,29521.30
lingbot_va_axis_angle_seed1000_100000steps,100000,19.973,0.2230,8.863,8.448,9.291,108.45,103.32,113.64,5629.0,5333.2,5936.6,53.23,51.02,55.57,1447.30,1391.40,1504.90,77998.81,74792.71,81317.26,8.252,65.95,2793.0,73.45,627.72,29521.30
lingbot_va_axis_angle_seed1000_200000steps,200000,19.323,0.2092,8.430,8.047,8.840,107.16,102.05,112.24,5562.6,5267.2,5857.1,52.60,50.61,54.63,1308.28,1256.97,1360.87,69326.23,66402.27,72359.79,8.252,65.95,2793.0,73.45,627.72,29521.30
lingbot_va_axis_angle_seed1000_50000steps,50000,21.314,0.2043,9.425,9.019,9.848,94.49,91.02,97.96,4539.8,4352.8,4734.7,52.05,50.02,54.14,963.81,931.17,997.04,49477.17,47687.98,51306.11,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_lora_sroi_rot6d_h30_bs4_1m_seed1000_0100000steps,100000,11.092,0.2455,7.226,6.941,7.536,84.56,81.14,87.89,4458.1,4259.7,4653.8,71.78,69.11,74.48,1185.68,1152.63,1219.40,63868.08,61933.70,65830.87,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_lora_sroi_rot6d_h30_seed1000_0020000steps,20000,10.095,0.1615,6.116,5.819,6.424,62.83,60.71,64.93,3284.8,3157.0,3412.5,60.68,58.65,62.76,851.54,830.01,873.73,45456.45,44157.53,46775.75,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_lora_sroi_rot6d_seed1000_0020000steps,20000,10.668,0.1599,6.323,6.035,6.616,64.31,62.17,66.58,3330.9,3199.4,3469.4,60.04,57.92,62.24,881.53,861.67,901.73,46084.23,44925.53,47287.91,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_lora_sroi_rotvec_seed1000_0020000steps,20000,11.007,0.2013,6.179,5.904,6.467,72.06,69.18,74.95,3745.2,3583.7,3912.1,52.52,50.50,54.65,824.45,806.62,842.51,44106.02,42997.42,45225.76,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_openpi1m_seed1000_0100001steps,100001,10.776,0.1435,6.200,5.899,6.510,58.50,56.67,60.32,3054.2,2942.8,3164.8,61.67,59.26,64.16,785.11,763.31,807.77,41528.22,40231.60,42873.47,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_openpi_recipe_seed1000_020000steps,20000,9.400,0.0861,6.305,5.971,6.650,40.18,38.63,41.81,1888.7,1804.4,1978.6,63.32,60.13,66.52,452.04,441.73,462.17,21826.68,21283.24,22373.23,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0050000steps,50000,9.487,0.1187,6.850,6.535,7.187,54.60,52.63,56.62,2732.0,2626.1,2844.9,58.98,56.04,61.90,599.38,581.38,617.78,30698.64,29615.01,31782.17,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0100000steps,100000,9.012,0.1809,7.174,6.874,7.478,70.80,68.27,73.35,3681.9,3533.8,3835.0,66.63,63.74,69.59,953.04,921.68,985.46,51057.19,49115.95,53077.17,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0150000steps,150000,9.101,0.1524,6.473,6.164,6.793,61.60,59.46,63.79,3160.8,3029.9,3294.9,65.44,62.50,68.42,766.91,743.18,791.13,40690.09,39203.51,42195.62,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0200000steps,200000,8.825,0.0837,5.847,5.541,6.155,38.14,36.70,39.55,1754.6,1679.7,1829.8,61.30,58.40,64.23,417.80,406.04,429.91,20480.08,19769.45,21216.49,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0250000steps,250000,8.786,0.0872,5.886,5.607,6.166,40.29,38.82,41.74,1841.4,1764.1,1921.6,64.08,61.31,66.95,432.22,420.65,444.03,20611.78,19947.41,21298.73,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0300000steps,300000,8.834,0.1368,6.095,5.819,6.376,55.13,53.10,57.15,2760.9,2636.0,2887.0,62.50,59.75,65.30,690.41,668.38,712.25,36287.73,34944.43,37629.64,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0350000steps,350000,8.873,0.0975,5.950,5.663,6.251,43.26,41.93,44.61,2009.3,1935.6,2085.5,63.32,60.47,66.20,477.07,463.86,490.45,23954.84,23094.15,24801.07,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0400000steps,400000,8.760,0.0810,5.406,5.120,5.697,36.22,35.11,37.36,1630.0,1570.9,1690.3,60.94,58.15,63.78,401.70,391.52,411.98,19522.13,18915.86,20138.10,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0450000steps,450000,8.985,0.0834,5.795,5.510,6.080,37.98,36.68,39.34,1691.7,1620.8,1765.9,62.45,59.56,65.35,427.35,417.45,437.95,20830.40,20210.44,21493.35,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0500000steps,500000,8.825,0.0894,5.877,5.594,6.157,40.47,38.97,42.03,1740.9,1667.5,1813.7,61.16,58.43,63.86,421.24,410.33,432.32,20062.54,19482.56,20653.05,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0550000steps,550000,8.789,0.0758,5.670,5.379,5.966,35.11,33.80,36.46,1471.9,1412.8,1533.1,60.14,57.40,62.91,349.02,341.18,357.14,16107.24,15644.30,16586.63,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0600000steps,600000,8.911,0.0893,5.837,5.540,6.143,39.89,38.56,41.29,1719.7,1659.1,1781.1,61.89,59.17,64.64,418.45,408.85,428.37,19936.49,19340.44,20556.27,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0650000steps,650000,9.036,0.0760,5.684,5.395,5.972,35.06,33.63,36.49,1452.6,1387.6,1517.9,60.13,57.42,62.87,349.80,339.84,359.59,16063.81,15530.95,16597.36,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0700000steps,700000,8.971,0.0725,5.610,5.320,5.903,34.28,32.94,35.66,1334.6,1282.4,1386.3,61.43,58.63,64.21,334.28,325.42,343.20,14422.68,14010.44,14839.92,8.252,65.95,2793.0,73.45,627.72,29521.30
pi05_port_seed1000_0750000steps,750000,8.971,0.0759,5.588,5.301,5.877,35.33,33.87,36.79,1440.9,1373.8,1506.9,59.81,57.09,62.56,356.17,345.96,366.44,16183.03,15651.18,16738.05,8.252,65.95,2793.0,73.45,627.72,29521.30
